ODP846 Alkenone SST 
Depth            Age        SST 
58.12       1596.939       23.3
58.21       1599.847       23.3
58.22       1600.171       23.1
58.23       1600.718       23.1
58.24       1601.266       23.1
58.28       1603.456       23.2
58.31       1605.098       23.6
58.32       1605.646       23.5
58.33       1606.193       23.6
58.34       1606.741       23.5
58.39       1609.479       23.5
58.41       1610.574       23.7
58.46       1613.312       23.7
58.51       1616.049       23.9
58.59       1620.430       23.7
58.61       1621.525         24
58.71       1627.000         24
58.81       1629.467       23.8
58.82       1629.713       23.6
58.91       1631.933       23.7
59          1634.153       23.2
59.1        1636.620       23.2
59.17       1638.347       23.9
59.18       1638.594       23.9
59.23       1639.827       23.5
59.27       1640.814       22.6
59.32       1642.047       22.1
59.38       1643.527       21.7
59.45       1645.254       21.7
59.56       1647.967       21.6
59.73       1652.160       21.7
60.01       1659.067       21.7
60.32       1666.714         22
60.4        1668.687       21.3
60.43       1669.427       21.5
60.44       1669.674       21.6
60.45       1669.921       21.6
60.46       1670.167       21.7
60.49       1670.788       21.9
60.52       1671.408       21.9
60.55       1672.028       22.6
60.6        1673.062       22.6
60.78       1676.785       23.3
61.23       1689.724       24.3
61.31       1692.827         24
61.34       1693.990       23.8
61.36       1694.766       22.7
61.39       1695.929       22.3
61.41       1696.705       22.1
61.42       1697.093       22.1
61.46       1698.434       22.2
61.5        1699.726       22.6
61.57       1701.988       22.7
61.7        1706.189       22.8
61.95       1714.268       22.7
62.12       1719.762       23.5
62.19       1722.024       23.2
62.25       1724.020         23
62.29       1725.398       23.1
62.35       1727.466       23.3
62.51       1732.980       23.7
62.73       1740.561       23.8
62.74       1740.906       23.7
62.86       1745.041       23.9
62.94       1747.798       23.9
62.98       1749.177       23.7
63.06       1751.934       23.6
63.11       1753.658       23.4
63.17       1755.726       23.1
63.25       1758.483       22.7
63.35       1761.930         23
63.41       1763.998       23.3
63.47       1765.280       23.8
63.508      1766.017       23.7
63.606      1767.918       24.2
63.61       1767.995       23.8
63.705      1769.837       24.6
63.73       1770.322       24.4
63.803      1771.738       24.6
63.85       1772.649       24.1
63.86       1772.843       24.1
63.921      1774.026       24.9
63.99       1775.364       24.5
64.007      1775.694       24.6
64.11       1777.691       24.1
64.13       1778.079       24.1
64.22       1779.862       23.7
64.258      1780.843       23.3
64.31       1782.186       23.1
64.367      1783.657         23
64.38       1783.993       22.7
64.45       1785.802       22.7
64.517      1787.536       22.9
64.57       1788.908       22.4
64.63       1790.460       22.7
64.68       1791.750       23.3
64.74       1793.299       23.2
64.79       1794.590       22.6
64.84       1795.883       22.4
64.88       1796.918       22.6
64.94       1798.471       22.8
64.97       1799.247       22.6
65.06       1801.061       22.8
65.07       1801.216         23
65.08       1801.371         23
65.14       1802.302       23.1
65.16       1802.612       23.9
65.23       1803.698       24.1
65.26       1804.164       24.1
65.33       1805.249       23.5
65.36       1805.715       24.2
65.42       1806.646       24.3
65.45       1807.111       24.2
65.52       1808.197       24.4
65.55       1808.662       24.4
65.63       1809.903       24.4
65.65       1810.214       24.6
65.73       1811.455       24.5
65.75       1811.765       24.4
65.83       1813.006       24.1
65.85       1813.316         24
65.94       1814.712       24.3
65.95       1814.867       23.3
66.04       1816.263       23.9
66.06       1816.573       23.5
66.14       1817.814       23.5
66.15       1817.969       23.4
66.23       1819.209       23.4
66.25       1819.519       23.5
66.26       1819.674       23.5
66.33       1820.760       23.7
66.35       1821.070       23.8
66.43       1822.310         24
66.45       1822.620       23.9
66.52       1823.705       23.9
66.54       1824.016       23.7
66.62       1825.256       23.9
66.72       1826.806       24.1
66.82       1828.357       24.3
66.92       1829.907         24
67.02       1831.491         24
67.12       1833.214       23.6
67.22       1834.937       23.7
67.32       1836.660       23.3
67.42       1838.383       23.7
67.45       1838.900       23.9
67.51       1839.934       23.7
67.62       1841.677       23.9
67.675      1842.246       24.2
67.72       1842.711         24
67.82       1843.745       23.9
67.83       1843.849       24.1
67.92       1844.779       24.2
67.93       1844.883       24.1
68.03       1845.917       24.3
68.13       1846.951       24.1
68.23       1847.985       24.2
68.33       1849.019         24
68.43       1850.053         24
68.53       1851.087       24.1
68.63       1852.311       24.3
68.73       1853.862       24.3
68.83       1855.413       24.4
68.93       1856.965       24.2
69.03       1858.516         24
69.13       1860.067       23.9
69.23       1861.619       23.4
69.33       1863.170       23.4
69.43       1864.721       23.4
69.53       1866.272       23.3
69.63       1867.824       23.7
69.73       1869.375       23.6
69.83       1870.927         24
69.93       1872.478       24.3
70.02       1873.874       24.2
70.03       1874.030       24.4
70.13       1875.581       24.1
70.23       1877.133       23.7
70.33       1878.684       23.7
70.43       1880.235       24.3
70.53       1881.787         24
70.63       1883.517       24.1
70.73       1885.455         24
70.83       1887.393       24.2
70.93       1889.331         24
71.03       1891.269       24.3
71.13       1893.207       24.2
71.23       1895.145       24.6
71.33       1897.083       24.6
71.43       1899.086       24.1
71.53       1901.155       23.1
71.63       1903.224       23.5
71.73       1905.293       23.1
71.83       1907.361       23.8
71.93       1909.430       24.1
72.03       1911.499       24.2
72.13       1913.567       23.6
72.23       1915.636       23.2
72.33       1917.705       23.3
72.43       1919.773       23.8
72.53       1921.841       23.8
72.63       1923.909       24.1
72.73       1925.977       24.2
72.83       1928.045       24.4
72.93       1930.113         24
73.03       1932.181       24.5
73.13       1934.249       24.4
73.23       1936.317       24.4
73.33       1938.385       24.2
73.43       1940.759       24.1
73.53       1943.340       23.1
73.63       1945.926       23.2
73.73       1948.514       22.7
73.83       1951.098       23.2
73.93       1953.679       23.9
74.03       1956.265       23.9
